,link,title,summary,published_date,keywords,external_links
51,https://www.thedailybeast.com/two-men-arrested-in-murder-of-philly-14-year-old-samir-jefferson,Two Men Arrested in Murder of Philly Teen Shot 18 Times,"LISTEN UPThese sleek, top-rated earbuds are on major sale—today only.Two Philadelphia men in their early 20s were arrested and charged with murder after they allegedly shot a 14-year-old boy 18 times while he waited for a bus. The two suspects, along with three others that have yet to be charged, allegedly pulled up to Samir Jefferson around 3:30 p.m. Monday and began shooting, firing off at least 36 bullets at him. Jefferson then collapsed and was taken to Temple University Hospital, where he was pronounced dead around 4 p.",2021-12-01 22:09:31,"['murder', ' Death', ' Philadelphia']",set()
52,https://philadelphia.cbslocal.com/2021/12/01/latif-williams-samuel-sean-collington-temple-student-killed-attempted-robbery/,Philadelphia Police ID 17-Year-Old Latif Williams As Suspect In Deadly Shooting Of Temple Student Samuel Collington,"PHILADELPHIA (CBS) — Philadelphia police have identified the suspect in the killing of a Temple University student. Samuel Sean Collington, 21, was shot twice in the chest following an attempted robbery near his off-campus apartment Sunday.Police confirmed Wednesday the suspect is 17-year-old Latif Williams. He is said to be 5'5″ tall, weighs 170 pounds, has a medium complexion brown eyes and brown hair.READ MORE: Woman Assaulted By Juvenile Suspects On SEPTA TrainWilliams is wanted for murder.Meanwhile, three sets of Philadelphia parents are now planning funerals for their children — all gunned down on city streets.",2021-12-01 10:14:25,"['latif williams  samuel sean collington', ' temple student killed attempted robbery', ' person of interest', ' surveillance video', ' killed off campus']","{'https://philadelphia.cbslocal.com/2021/12/04/donald-grier-townsend-new-castle-county-delaware-triple-homicide/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-commerce-director-michael-rashid-resigns-anti-semitic-abused-staff/', 'https://philadelphia.cbslocal.com/2021/12/04/chester-pedestrians-church-driver-crash-police/', 'https://philadelphia.cbslocal.com/2021/12/06/ben-simmons-damian-lillard-philadelphia-sixers-portland-trail-blazers/', 'https://philadelphia.cbslocal.com/2021/12/04/kristhie-alcazar-new-jersey-penns-grove-salem-county-mother-infant-stabbing-murder/', 'https://philadelphia.cbslocal.com/2021/12/05/doylestown-buckingham-township-bucks-county-house-fire-man-dead/', 'https://philadelphia.cbslocal.com/2021/12/04/covid19-omicron-variant-reported-philadelphia-new-jersey/', 'https://philadelphia.cbslocal.com/2021/12/04/carroll-park-kensington-philadelphia-pennsylvania-gun-violence-shooting-double-lansdowne-avenue-westmoreland-homicide/', 'https://philadelphia.cbslocal.com/2021/12/04/philadelphia-winter-holiday-parade-hanukkah-christmas-kwanzaa-chinese-new-year-charlie-manuel/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-shooting-kensington-gun-violence-men-dead/'}"
53,https://philadelphia.cbslocal.com/2021/12/01/brotherly-love-musicopia-catherine-charlton/,"Brotherly Love: For Nearly 50 Years, Musicopia Giving Philadelphia Children Gift Of Music","PHILADELPHIA (CBS) — For almost 50 years, a Philadelphia organization has been giving children the gift of music. Eyewitness News caught up with them and their unique giveaway this week.In Spring Garden, a humble warehouse space is a wonderland for teachers. It's here that Musicopia gave away instruments.READ MORE: What We Know About 17-Year-Old Latif Williams, Wanted For Murder Of Temple Student Samuel Collington'Music teachers and administrators can make an appointment, come select the instruments they are looking for, for their schools and then take them and have them,' Catherine Charlton, the executive director of Musicopia, told CBS3.",2021-12-01 13:14:36,"['musicopia', ' philadelphia news', ' brotherly love', ' ukee washington', ' catherine charlton']","{'https://philadelphia.cbslocal.com/2021/12/04/donald-grier-townsend-new-castle-county-delaware-triple-homicide/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-commerce-director-michael-rashid-resigns-anti-semitic-abused-staff/', 'https://philadelphia.cbslocal.com/2021/12/04/chester-pedestrians-church-driver-crash-police/', 'https://philadelphia.cbslocal.com/2021/12/06/ben-simmons-damian-lillard-philadelphia-sixers-portland-trail-blazers/', 'https://philadelphia.cbslocal.com/2021/12/04/kristhie-alcazar-new-jersey-penns-grove-salem-county-mother-infant-stabbing-murder/', 'https://philadelphia.cbslocal.com/2021/12/05/doylestown-buckingham-township-bucks-county-house-fire-man-dead/', 'https://philadelphia.cbslocal.com/2021/12/04/covid19-omicron-variant-reported-philadelphia-new-jersey/', 'https://philadelphia.cbslocal.com/2021/12/04/carroll-park-kensington-philadelphia-pennsylvania-gun-violence-shooting-double-lansdowne-avenue-westmoreland-homicide/', 'https://philadelphia.cbslocal.com/2021/12/04/philadelphia-winter-holiday-parade-hanukkah-christmas-kwanzaa-chinese-new-year-charlie-manuel/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-shooting-kensington-gun-violence-men-dead/'}"
54,https://nypost.com/2021/12/01/philadelphia-teen-shot-18-times-at-bus-stop-amid-homicide-record/,Philadelphia teen shot 18 times at bus stop amid city's all-time homicide record,"A 14-year-old Philadelphia boy was shot 18 times while waiting at a bus stop Monday afternoon — over an apparent social media beef.



Samir Jefferson, a ninth-grader at Thomas Edison High School, was waiting for a bus at about 3:30 p.m. Monday when two gunmen jumped out of a car and opened fire, WPVI reported.



The teen, who was standing near a Rite Aid pharmacy in the city's Feltonville section, may have been targeted in the attack due to taunts on social media, sources told the station. 



He was later pronounced dead at Temple University Hospital.",2021-12-01 21:07:19,['Copyright 2021 NYP Holdings. All rights reserved.'],set()
55,https://www.foxnews.com/us/temple-university-samuel-collington-latif-williams-murder-investigation,Suspect in shooting death of Temple University student arrested for carjacking in July then released,"The 17-year-old suspect in the murder of a Temple University student over the weekend was arrested and charged earlier this year for a ""gunpoint carjacking"" but was released after prosecutors withdrew the case because a key witness failed to testify in court, a report says. Latif Williams, on Wednesday night, turned himself in to the Philadelphia Police Department's Homicide Unit following the killing of 21-year-old Samuel Collington on Sunday. Officers that day responded to a 911 call for a person with a gun in the city's north side and found Collington with gunshot wounds to his chest and back.",2021-12-02 16:23:38,[],set()
56,https://www.cnn.com/videos/us/2021/12/02/oxford-high-school-shooting-update-prokupecz-dnt-newday-vpx.cnn,Suspect charged as adult in Michigan school shooting,"WFMZ-TV 69 News provides news, weather, traffic, sports and family programming for the Lehigh Valley, Berks County, Southeastern Pa., Poconos and Western NJ including Allentown, Bethlehem, Easton, Reading, Kutztown, Emmaus, Quakertown, Stroudsburg, Philadelphia, Jim Thorpe, Doylestown, Phillipsburg, Flemington, Wilmington, and Newark.

This website is not intended for users located within the European Economic Area.

Advertising:
 Ad Choices
 | 
Do Not Sell My Info (cookies): Choices Do Not Sell",2021-12-02 11:40:10,"['us', ' Michigan school shooting: Suspect is charged as an adult - CNN Video']",set()
57,https://philadelphia.cbslocal.com/2021/11/29/holmesburg-northeast-philadelphia-shooting-homeowner-intruder/,Homeowner Shoots Intruder Inside Holmesburg Home,"PHILADELPHIA (CBS) — A homeowner opened fire on an intruder in Holmesburg on Sunday night, police say. The shooting happened around 11 p.m. on the 4700 block of Ashville Street. 

Police say they arrived to find a 31-year-old suspect shot in the face in the basement.
He was taken to the hospital, where he's listed in critical condition.
 ©2021 CBS Broadcasting Inc. All Rights Reserved. Powered by WordPress VIP",2021-11-29 06:21:16,"['northeast philadelphia shooting', ' philadelphia shooting', ' philly shooting', ' philadelphia gun violence', ' northeast philadelphia gun violence', ' holmesburg']","{'https://philadelphia.cbslocal.com/2021/12/04/donald-grier-townsend-new-castle-county-delaware-triple-homicide/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-commerce-director-michael-rashid-resigns-anti-semitic-abused-staff/', 'https://philadelphia.cbslocal.com/2021/12/04/chester-pedestrians-church-driver-crash-police/', 'https://philadelphia.cbslocal.com/2021/12/06/ben-simmons-damian-lillard-philadelphia-sixers-portland-trail-blazers/', 'https://philadelphia.cbslocal.com/2021/12/04/kristhie-alcazar-new-jersey-penns-grove-salem-county-mother-infant-stabbing-murder/', 'https://philadelphia.cbslocal.com/2021/12/05/doylestown-buckingham-township-bucks-county-house-fire-man-dead/', 'https://philadelphia.cbslocal.com/2021/12/04/covid19-omicron-variant-reported-philadelphia-new-jersey/', 'https://philadelphia.cbslocal.com/2021/12/04/carroll-park-kensington-philadelphia-pennsylvania-gun-violence-shooting-double-lansdowne-avenue-westmoreland-homicide/', 'https://philadelphia.cbslocal.com/2021/12/04/philadelphia-winter-holiday-parade-hanukkah-christmas-kwanzaa-chinese-new-year-charlie-manuel/', 'https://philadelphia.cbslocal.com/2021/12/05/philadelphia-shooting-kensington-gun-violence-men-dead/'}"
58,https://www.cnn.com/videos/us/2021/11/30/michigan-high-school-shooting-supect-custody-vpx.cnn,Michigan School Shooting: Here's what we know,"WFMZ-TV 69 News provides news, weather, traffic, sports and family programming for the Lehigh Valley, Berks County, Southeastern Pa., Poconos and Western NJ including Allentown, Bethlehem, Easton, Reading, Kutztown, Emmaus, Quakertown, Stroudsburg, Philadelphia, Jim Thorpe, Doylestown, Phillipsburg, Flemington, Wilmington, and Newark.

This website is not intended for users located within the European Economic Area.

Advertising:
 Ad Choices
 | 
Do Not Sell My Info (cookies): Choices Do Not Sell",2021-12-01 01:55:49,"['us', "" Michigan High School shooting: Here's what we know - CNN Video""]",set()
59,https://www.cnn.com/videos/us/2021/12/01/michigan-high-school-shooting-prokupecz-dnt-newday-vpx.cnn,'This is actually happening': Student speaks out after school shooting,"WFMZ-TV 69 News provides news, weather, traffic, sports and family programming for the Lehigh Valley, Berks County, Southeastern Pa., Poconos and Western NJ including Allentown, Bethlehem, Easton, Reading, Kutztown, Emmaus, Quakertown, Stroudsburg, Philadelphia, Jim Thorpe, Doylestown, Phillipsburg, Flemington, Wilmington, and Newark.

This website is not intended for users located within the European Economic Area.

Advertising:
 Ad Choices
 | 
Do Not Sell My Info (cookies): Choices Do Not Sell",2021-12-01 11:52:29,"['us', "" Michigan high school shooting: 'This is actually happening'"", ' student later recalls - CNN Video']",set()
60,https://www.cnn.com/videos/us/2021/11/30/michigan-high-school-shooting-supect-custody-vpx.cnn,Authorities say at least 3 people killed in Michigan high school shooting,"WFMZ-TV 69 News provides news, weather, traffic, sports and family programming for the Lehigh Valley, Berks County, Southeastern Pa., Poconos and Western NJ including Allentown, Bethlehem, Easton, Reading, Kutztown, Emmaus, Quakertown, Stroudsburg, Philadelphia, Jim Thorpe, Doylestown, Phillipsburg, Flemington, Wilmington, and Newark.

This website is not intended for users located within the European Economic Area.

Advertising:
 Ad Choices
 | 
Do Not Sell My Info (cookies): Choices Do Not Sell",2021-11-30 21:18:08,"['us', "" Michigan High School shooting: Here's what we know - CNN Video""]",set()
